"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1852567191599640961","Sat Nov 02 04:27:11 +0000 2024","0","we are aware of the issue akun ini terkena rate limit dari twitter jadi sementara user belum bisa kirim menfess sampai info selanjutnya https://t.co/wMTJdTcy3N","1852568109540106631","https://pbs.twimg.com/media/GbWkquHbcAAyQiR.png","DraftAnakITB","in","Ganesha, Jatinangor, Cirebon","0","0","0","https://x.com/DraftAnakITB/status/1852568109540106631","1804409229442453505","DraftAnakITB"
"1852567191599640961","Sat Nov 02 04:23:32 +0000 2024","1","CURRENT BOT STATUS : OFF","1852567191599640961","","","en","Ganesha, Jatinangor, Cirebon","0","1","0","https://x.com/DraftAnakITB/status/1852567191599640961","1804409229442453505","DraftAnakITB"
"1852159899314352612","Fri Nov 01 01:25:06 +0000 2024","5","Ada ga mesin kopi jumpstart di itb! nangor selain gku2? Infokan lokasi","1852159899314352612","","","in","Ganesha, Jatinangor, Cirebon","0","4","0","https://x.com/DraftAnakITB/status/1852159899314352612","1804409229442453505","DraftAnakITB"
"1852159005344567533","Fri Nov 01 01:21:32 +0000 2024","7","honor asisten pancasila itb! emang belum cair ya? tia!","1852159005344567533","","","in","Ganesha, Jatinangor, Cirebon","0","2","0","https://x.com/DraftAnakITB/status/1852159005344567533","1804409229442453505","DraftAnakITB"
"1852158059675816429","Fri Nov 01 01:17:47 +0000 2024","0","bucin! 16024432 boleh kenalan ga?","1852158059675816429","","","in","Ganesha, Jatinangor, Cirebon","0","2","0","https://x.com/DraftAnakITB/status/1852158059675816429","1804409229442453505","DraftAnakITB"
"1852156639534813400","Fri Nov 01 01:12:08 +0000 2024","3","bucin! 16024358 semangatt UTS-nya! semoga kita dapet jurusan yg kita mau :))","1852156639534813400","","","in","Ganesha, Jatinangor, Cirebon","1","0","0","https://x.com/DraftAnakITB/status/1852156639534813400","1804409229442453505","DraftAnakITB"
"1852149781503840488","Fri Nov 01 00:44:53 +0000 2024","24","maba! siapapun tolong bagi list rumus-rumus buat uts fisika nanti dong ","1852149781503840488","","","in","Ganesha, Jatinangor, Cirebon","0","1","0","https://x.com/DraftAnakITB/status/1852149781503840488","1804409229442453505","DraftAnakITB"
"1852149471536386262","Fri Nov 01 00:43:39 +0000 2024","5","itb! Mau tanya ada yg tau tempat jualan barang bekas antik jadul di bandung?? Aku mau hunting. Boleh rekomendasinya dong","1852149471536386262","","","in","Ganesha, Jatinangor, Cirebon","0","6","0","https://x.com/DraftAnakITB/status/1852149471536386262","1804409229442453505","DraftAnakITB"
"1852145698839630181","Fri Nov 01 00:28:40 +0000 2024","27","katanya di itb! nangor mau ada acara kaya comifuro gitu y?","1852145698839630181","","","in","Ganesha, Jatinangor, Cirebon","8","4","1","https://x.com/DraftAnakITB/status/1852145698839630181","1804409229442453505","DraftAnakITB"
"1852144542440673675","Fri Nov 01 00:24:04 +0000 2024","2","bucin! steir 24 nim 066 udah ada yang punya belum ya???","1852144542440673675","","","in","Ganesha, Jatinangor, Cirebon","1","1","0","https://x.com/DraftAnakITB/status/1852144542440673675","1804409229442453505","DraftAnakITB"
"1852143408552513671","Fri Nov 01 00:19:34 +0000 2024","2","day 4 nyariin kamu pls tunjukkan dirimu bucin! https://t.co/24lgoDp2BK","1852143408552513671","https://pbs.twimg.com/media/GbQinRoagAAdTVR.jpg","","in","Ganesha, Jatinangor, Cirebon","0","0","0","https://x.com/DraftAnakITB/status/1852143408552513671","1804409229442453505","DraftAnakITB"
"1852142630009975154","Fri Nov 01 00:16:28 +0000 2024","0","bucin! mentari fitb gimana kabarnya baik atau tidak?","1852142630009975154","","","in","Ganesha, Jatinangor, Cirebon","0","0","0","https://x.com/DraftAnakITB/status/1852142630009975154","1804409229442453505","DraftAnakITB"
"1852139220418334907","Fri Nov 01 00:02:55 +0000 2024","1","bucin! nim 053 steir 24 udah ada gandengan belum ya","1852139220418334907","","","in","Ganesha, Jatinangor, Cirebon","0","1","0","https://x.com/DraftAnakITB/status/1852139220418334907","1804409229442453505","DraftAnakITB"
