"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1868637998771789892","Mon Dec 16 12:43:11 +0000 2024","0","bucin! 11223008 udah punya pacar blom?","1868637998771789892","","","in","Ganesha, Jatinangor, Cirebon","2","0","0","https://x.com/DraftAnakITB/status/1868637998771789892","1804409229442453505","DraftAnakITB"
"1868618657342865576","Mon Dec 16 11:26:19 +0000 2024","0","itb! yang punya kapur tohor bongkahan lebih atau sisaan pls repp mau belii urgent buat besok","1868618657342865576","","","in","Ganesha, Jatinangor, Cirebon","0","3","0","https://x.com/DraftAnakITB/status/1868618657342865576","1804409229442453505","DraftAnakITB"
"1868606725286236348","Mon Dec 16 10:38:54 +0000 2024","3","itb! itbparkir! misuh!","1868606725286236348","","","in","Ganesha, Jatinangor, Cirebon","0","0","0","https://x.com/DraftAnakITB/status/1868606725286236348","1804409229442453505","DraftAnakITB"
"1868605635085893872","Mon Dec 16 10:34:35 +0000 2024","12","maba! klo di reply sama acc @Yappingaja mending diem aja belajarr udah mau uas mending gunain wkt kita for something more useful ","1868605635085893872","","","in","Ganesha, Jatinangor, Cirebon","1","1","1","https://x.com/DraftAnakITB/status/1868605635085893872","1804409229442453505","DraftAnakITB"
"1868598737456570862","Mon Dec 16 10:07:10 +0000 2024","17","bucin! that might be the last time i'll ever see you but you probably didn't care :) whatever it was that i did im sorry and i wish for us to never cross path ever again for the better. Goodbye ell","1868598737456570862","","","en","Ganesha, Jatinangor, Cirebon","2","1","2","https://x.com/DraftAnakITB/status/1868598737456570862","1804409229442453505","DraftAnakITB"
"1868350392213426661","Sun Dec 15 17:40:20 +0000 2024","28","maba! infokan jadwal tutor kimia asrama / scl bersama dong butuh bgttt","1868350392213426661","","","in","Ganesha, Jatinangor, Cirebon","0","1","1","https://x.com/DraftAnakITB/status/1868350392213426661","1804409229442453505","DraftAnakITB"
"1868275370329309228","Sun Dec 15 12:42:13 +0000 2024","15","Heyyo Massa Kampus Ganesha Fundraise konser KPA itb! 2025 bakalan open jastip Mochi Papaya nihh‼️‼️ Masa iyaa gaikut PO... kapan lagi makan mochi papaya tanpa harus ke tempatnya langsunggg Cuma 15k lohh lesgoo pesenn dar der door‼️","1868275370329309228","","","in","Ganesha, Jatinangor, Cirebon","3","1","5","https://x.com/DraftAnakITB/status/1868275370329309228","1804409229442453505","DraftAnakITB"
"1868274558144307560","Sun Dec 15 12:39:00 +0000 2024","21","itb! bucin! misuh! Ramein anon itb ini dong! https://t.co/EsM48F9cvl","1868274558144307560","https://pbs.twimg.com/media/Ge1xzvWWoAAsdQq.jpg","","in","Ganesha, Jatinangor, Cirebon","0","0","0","https://x.com/DraftAnakITB/status/1868274558144307560","1804409229442453505","DraftAnakITB"
"1868266064385077740","Sun Dec 15 12:05:15 +0000 2024","0","bucin! Cowo nopung 1 keren banget tadi","1868266064385077740","","","in","Ganesha, Jatinangor, Cirebon","0","0","0","https://x.com/DraftAnakITB/status/1868266064385077740","1804409229442453505","DraftAnakITB"
"1868262257722859826","Sun Dec 15 11:50:07 +0000 2024","91","bucin! cowok teknik juga butuh cowok sains ","1868262257722859826","","","in","Ganesha, Jatinangor, Cirebon","34","47","3","https://x.com/DraftAnakITB/status/1868262257722859826","1804409229442453505","DraftAnakITB"
"1868260561370145117","Sun Dec 15 11:43:23 +0000 2024","1","bucin! cowo futsal immg nopung 9 dah punya cewe ya?","1868260561370145117","","","in","Ganesha, Jatinangor, Cirebon","1","0","0","https://x.com/DraftAnakITB/status/1868260561370145117","1804409229442453505","DraftAnakITB"
"1868260473931534344","Sun Dec 15 11:43:02 +0000 2024","63","itb! Ada yg punya catatan tpb lengkap materi fisika / kimia setelah UTS ? need bgt .. thankyou","1868260473931534344","","","in","Ganesha, Jatinangor, Cirebon","0","1","6","https://x.com/DraftAnakITB/status/1868260473931534344","1804409229442453505","DraftAnakITB"
"1868254992726958358","Sun Dec 15 11:21:15 +0000 2024","11","You're complete. You don't need me. But that's not the only reason why I left. And you knew that already. Not bucin! Just thinking aloud.","1868254992726958358","","","en","Ganesha, Jatinangor, Cirebon","0","0","0","https://x.com/DraftAnakITB/status/1868254992726958358","1804409229442453505","DraftAnakITB"
"1868254787407372368","Sun Dec 15 11:20:26 +0000 2024","12","bucin! Sebelum semester ini berakhir aku pengen membuat kenangan sebanyak mungkin denganmu. Terima kasih telah memotivasiku untuk terus belajar dan menjadi lebih baik. ","1868254787407372368","","","in","Ganesha, Jatinangor, Cirebon","0","0","1","https://x.com/DraftAnakITB/status/1868254787407372368","1804409229442453505","DraftAnakITB"
"1868244838434447711","Sun Dec 15 10:40:54 +0000 2024","19","itb! liat pelmud oprec jd pgn ikut deh tp msi bingung ktnya nnti disuruh nyari qr gtu ya kalau mau daftar?? seru gak siih? Butuh review jujur","1868244838434447711","","","in","Ganesha, Jatinangor, Cirebon","1","5","1","https://x.com/DraftAnakITB/status/1868244838434447711","1804409229442453505","DraftAnakITB"
"1868239090602160430","Sun Dec 15 10:18:04 +0000 2024","41","bucin! sayang doang tp ga dipacarin buat apa?? kocak bet lu","1868239090602160430","","","in","Ganesha, Jatinangor, Cirebon","2","2","1","https://x.com/DraftAnakITB/status/1868239090602160430","1804409229442453505","DraftAnakITB"
"1868238314655871043","Sun Dec 15 10:14:59 +0000 2024","39","itb! WOI SEMUAA BANGUNN PELITA MUDA AKHIRNYA OPREC!! CARA DAFTARNYA ADA DI SG @pelitamuda.itb AYO WEH TEMENIN SENDER DAFTAR https://t.co/gIad5wAuI9","1868238314655871043","https://pbs.twimg.com/media/Ge1Q2IgXcAA2lN7.jpg","","in","Ganesha, Jatinangor, Cirebon","6","8","4","https://x.com/DraftAnakITB/status/1868238314655871043","1804409229442453505","DraftAnakITB"
"1868236729385148861","Sun Dec 15 10:08:41 +0000 2024","0","itb!","1868236729385148861","","","qst","Ganesha, Jatinangor, Cirebon","0","0","0","https://x.com/DraftAnakITB/status/1868236729385148861","1804409229442453505","DraftAnakITB"
"1867993880810901843","Sat Dec 14 18:03:41 +0000 2024","39","itb! Sender sedang merenung apakah ikut kader ukm yang baru saja mau oprec? Sender tertarik dari sejak oskm tapi terpikir berkali-kali jika harus forum berjam-jam dengan isi forum yang tidak straight to the point","1867993880810901843","","","in","Ganesha, Jatinangor, Cirebon","2","3","1","https://x.com/DraftAnakITB/status/1867993880810901843","1804409229442453505","DraftAnakITB"
"1867980799326269742","Sat Dec 14 17:11:42 +0000 2024","5","bucin! 09 immanuel dapet salam dari kursi penonton katanya udah ada yang punya belum?","1867980799326269742","","","in","Ganesha, Jatinangor, Cirebon","1","0","0","https://x.com/DraftAnakITB/status/1867980799326269742","1804409229442453505","DraftAnakITB"
"1867980157471936902","Sat Dec 14 17:09:09 +0000 2024","26","maba! top 4 tifo terbaik TPB CUP tahun ini menurut sender:","1867980157471936902","","","in","Ganesha, Jatinangor, Cirebon","3","6","0","https://x.com/DraftAnakITB/status/1867980157471936902","1804409229442453505","DraftAnakITB"
"1867931686643581065","Sat Dec 14 13:56:33 +0000 2024","0","bucin! Livi sbm ada cowoo gaaa","1867931686643581065","","","in","Ganesha, Jatinangor, Cirebon","0","5","0","https://x.com/DraftAnakITB/status/1867931686643581065","1804409229442453505","DraftAnakITB"
"1867929622546981080","Sat Dec 14 13:48:21 +0000 2024","161","itb! Respek buat fttm yang nyanyi dari awal sampai akhir dan belajar dari kesalahan sebelumnya. Semoga lebih kompak lagi!!","1867929622546981080","","","in","Ganesha, Jatinangor, Cirebon","5","0","24","https://x.com/DraftAnakITB/status/1867929622546981080","1804409229442453505","DraftAnakITB"
"1867920555900375498","Sat Dec 14 13:12:19 +0000 2024","123","Fttm menang LAGI kugembira syalalalalala maba!","1867920555900375498","","","in","Ganesha, Jatinangor, Cirebon","9","8","36","https://x.com/DraftAnakITB/status/1867920555900375498","1804409229442453505","DraftAnakITB"
"1867914617424318833","Sat Dec 14 12:48:43 +0000 2024","3","itb! haloo sithr nim 198241*2 selama ini cuman liat2an doang di kelas HAHA...smangat belajarnya~","1867914617424318833","","","in","Ganesha, Jatinangor, Cirebon","2","0","0","https://x.com/DraftAnakITB/status/1867914617424318833","1804409229442453505","DraftAnakITB"
"1867909012416614755","Sat Dec 14 12:26:27 +0000 2024","2","bucin! 004 steir . hiii you re cute :D","1867909012416614755","","","en","Ganesha, Jatinangor, Cirebon","2","2","0","https://x.com/DraftAnakITB/status/1867909012416614755","1804409229442453505","DraftAnakITB"
"1867898648001933442","Sat Dec 14 11:45:16 +0000 2024","0","itb! Dijual... Acer swift 3 infinity 4","1867898648001933442","","","in","Ganesha, Jatinangor, Cirebon","0","2","0","https://x.com/DraftAnakITB/status/1867898648001933442","1804409229442453505","DraftAnakITB"
"1867897225138880657","Sat Dec 14 11:39:36 +0000 2024","2","misuh! u were once said that ill always live forever in your art. but what are we now?","1867897225138880657","","","en","Ganesha, Jatinangor, Cirebon","2","0","0","https://x.com/DraftAnakITB/status/1867897225138880657","1804409229442453505","DraftAnakITB"
"1867896433262629356","Sat Dec 14 11:36:28 +0000 2024","14","itb! Suara kalian penting! Aku lagi bikin platform kolaborasi akademik untuk mahasiswa ITB. Isi surveinya di https://t.co/JUiW2LHbD0. Suka lupa tandai hadir? Punya keluhan terkait SIX? Ceritain! https://t.co/3oaTO1fiss","1867896433262629356","https://pbs.twimg.com/media/GewZ6DCXgAAt_-K.jpg","","in","Ganesha, Jatinangor, Cirebon","1","0","1","https://x.com/DraftAnakITB/status/1867896433262629356","1804409229442453505","DraftAnakITB"
"1867895346417881134","Sat Dec 14 11:32:09 +0000 2024","23","itb! kakak kakak TL info kira batas aman ipk masuk tl brapa ya... makasih:)","1867895346417881134","","","in","Ganesha, Jatinangor, Cirebon","0","5","1","https://x.com/DraftAnakITB/status/1867895346417881134","1804409229442453505","DraftAnakITB"
"1867885111368147361","Sat Dec 14 10:51:28 +0000 2024","0","itb! ditemukan kunci hilang di simpang tubis 6 bagi yang merasa boleh chat id line mattvg","1867885111368147361","","","in","Ganesha, Jatinangor, Cirebon","0","0","0","https://x.com/DraftAnakITB/status/1867885111368147361","1804409229442453505","DraftAnakITB"
"1867884244644577600","Sat Dec 14 10:48:02 +0000 2024","30","itb! bang kalo gitu solatnya kapan bang","1867884244644577600","","","in","Ganesha, Jatinangor, Cirebon","1","0","1","https://x.com/DraftAnakITB/status/1867884244644577600","1804409229442453505","DraftAnakITB"
"1867625164243910667","Fri Dec 13 17:38:32 +0000 2024","33","GOOD JOB maba! SITH-R DAN TPB FSRD ","1867625164243910667","","","en","Ganesha, Jatinangor, Cirebon","1","0","1","https://x.com/DraftAnakITB/status/1867625164243910667","1804409229442453505","DraftAnakITB"
"1867624743962042871","Fri Dec 13 17:36:52 +0000 2024","10","maba! sbm gacor","1867624743962042871","","","tl","Ganesha, Jatinangor, Cirebon","1","1","0","https://x.com/DraftAnakITB/status/1867624743962042871","1804409229442453505","DraftAnakITB"
"1867621089305579912","Fri Dec 13 17:22:21 +0000 2024","3","bucin! 16924181 imoet bgt uda ada pawang belum? ","1867621089305579912","","","in","Ganesha, Jatinangor, Cirebon","3","0","0","https://x.com/DraftAnakITB/status/1867621089305579912","1804409229442453505","DraftAnakITB"
"1867618819625070886","Fri Dec 13 17:13:19 +0000 2024","23","itb! rusuh bgt yg gendut item gw cuma nonton tapi kesel bgt liatnya","1867618819625070886","","","in","Ganesha, Jatinangor, Cirebon","0","0","1","https://x.com/DraftAnakITB/status/1867618819625070886","1804409229442453505","DraftAnakITB"
"1867613343382421990","Fri Dec 13 16:51:34 +0000 2024","0","bucin! 19824020 tipe gua tp susah bgt diajak ngobrol / sekedar becanda doang ky awkward bgt¿","1867613343382421990","","","in","Ganesha, Jatinangor, Cirebon","0","0","0","https://x.com/DraftAnakITB/status/1867613343382421990","1804409229442453505","DraftAnakITB"
"1866786806433296532","Wed Dec 11 10:07:12 +0000 2024","34","bucin! junot sites warna rambut barunya bagus jadi lucuk skaliii sukaak mw sm cwok ga yah ","1866786806433296532","","","in","Ganesha, Jatinangor, Cirebon","6","5","1","https://x.com/DraftAnakITB/status/1866786806433296532","1804409229442453505","DraftAnakITB"
"1866534702506471488","Tue Dec 10 17:25:26 +0000 2024","55","itb! emang boleh gebukin orang sampe babak belur karna nga terima kalah?","1866534702506471488","","","in","Ganesha, Jatinangor, Cirebon","10","4","2","https://x.com/DraftAnakITB/status/1866534702506471488","1804409229442453505","DraftAnakITB"
"1866527919629099506","Tue Dec 10 16:58:29 +0000 2024","209","itb! cape banget ternyata selain akademik (jebol wkwk) sosial juga susah (only have a few close friends) give me a reason to survive?","1866527919629099506","","","in","Ganesha, Jatinangor, Cirebon","7","12","11","https://x.com/DraftAnakITB/status/1866527919629099506","1804409229442453505","DraftAnakITB"
"1866527822040240394","Tue Dec 10 16:58:05 +0000 2024","3","bucin! gue udah suka lu dari tahun lalu... tapi gue bener bener ngga ada kesempatan ya?","1866527822040240394","","","in","Ganesha, Jatinangor, Cirebon","1","0","0","https://x.com/DraftAnakITB/status/1866527822040240394","1804409229442453505","DraftAnakITB"
"1866519292755255692","Tue Dec 10 16:24:12 +0000 2024","71","bucin! jatuh cinta tuh ternyata seruu bangett yaaa rasanya seneng bangett walau cuma dapet perhatian kecill","1866519292755255692","","","in","Ganesha, Jatinangor, Cirebon","3","2","3","https://x.com/DraftAnakITB/status/1866519292755255692","1804409229442453505","DraftAnakITB"
"1866512627372880276","Tue Dec 10 15:57:43 +0000 2024","41","bucin! bisa ga chat an lgi biar gk stress bgt jgn beneran asing gini","1866512627372880276","","","in","Ganesha, Jatinangor, Cirebon","0","3","4","https://x.com/DraftAnakITB/status/1866512627372880276","1804409229442453505","DraftAnakITB"
"1866507432958005693","Tue Dec 10 15:37:04 +0000 2024","6","maba! denger denger uas pengkom gaada itu bener ga yaa?","1866507432958005693","","","in","Ganesha, Jatinangor, Cirebon","4","5","0","https://x.com/DraftAnakITB/status/1866507432958005693","1804409229442453505","DraftAnakITB"
"1866458493173031383","Tue Dec 10 12:22:36 +0000 2024","56","itb! kakak2 apa bener ya kalo misal pilih jurusan a buat pil 1 b buat pil 2 c buat pil 3. terus nilainya ga bersaing buat masuk ke a terus ternyata b kuotanya sudah cukup bakal bisa kelempar ke c walaupun nilai bisa masuk ke b?","1866458493173031383","","","in","Ganesha, Jatinangor, Cirebon","12","11","2","https://x.com/DraftAnakITB/status/1866458493173031383","1804409229442453505","DraftAnakITB"
"1866457061082456315","Tue Dec 10 12:16:55 +0000 2024","4","bucin! abil yellboys sama aku aja gasi rawr ","1866457061082456315","","","in","Ganesha, Jatinangor, Cirebon","2","4","0","https://x.com/DraftAnakITB/status/1866457061082456315","1804409229442453505","DraftAnakITB"
"1866454869801902371","Tue Dec 10 12:08:12 +0000 2024","53","bucin! Karena tembok kita yang begitu tinggi aku jadi makin semangat buat ngejar mimpi dan be the best version of myself. Terima kasih sudah menjadi motivasiku. Sampai jumpa di titik terbaik kita.","1866454869801902371","","","in","Ganesha, Jatinangor, Cirebon","1","2","2","https://x.com/DraftAnakITB/status/1866454869801902371","1804409229442453505","DraftAnakITB"
"1866454376715346117","Tue Dec 10 12:06:15 +0000 2024","1750","edisi itb! wrapped nih ada yg mau nambahin?* https://t.co/HjoSgdrHBa","1866454376715346117","https://pbs.twimg.com/media/Geb6XT7XcAEvs0E.jpg","","in","Ganesha, Jatinangor, Cirebon","126","24","132","https://x.com/DraftAnakITB/status/1866454376715346117","1804409229442453505","DraftAnakITB"
"1866447093969170876","Tue Dec 10 11:37:18 +0000 2024","4","bucin! info cewe 169 yang blm taken dongg","1866447093969170876","","","in","Ganesha, Jatinangor, Cirebon","5","2","0","https://x.com/DraftAnakITB/status/1866447093969170876","1804409229442453505","DraftAnakITB"
"1866446372037140873","Tue Dec 10 11:34:26 +0000 2024","0","bucin! 13423025 lo mirip sama hts-an gw pas smp ","1866446372037140873","","","in","Ganesha, Jatinangor, Cirebon","0","0","0","https://x.com/DraftAnakITB/status/1866446372037140873","1804409229442453505","DraftAnakITB"
"1866439113957581059","Tue Dec 10 11:05:36 +0000 2024","1","maba! Aku wts chempro 2024 dong masih disegel 70k aja boleh nego yaaa","1866439113957581059","","","in","Ganesha, Jatinangor, Cirebon","0","1","0","https://x.com/DraftAnakITB/status/1866439113957581059","1804409229442453505","DraftAnakITB"
"1866437114046332995","Tue Dec 10 10:57:39 +0000 2024","2","bucin! kaka asisten agama kristen yang A udah ada yg punya belum??","1866437114046332995","","","in","Ganesha, Jatinangor, Cirebon","1","1","0","https://x.com/DraftAnakITB/status/1866437114046332995","1804409229442453505","DraftAnakITB"
"1866435679086858262","Tue Dec 10 10:51:57 +0000 2024","1","maba! Ada yang tau tempat laundry yg bisa buat setrika aja di nangor?","1866435679086858262","","","in","Ganesha, Jatinangor, Cirebon","0","0","0","https://x.com/DraftAnakITB/status/1866435679086858262","1804409229442453505","DraftAnakITB"
